latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.60559126,-58.38710078,73.4329,0.6922,"POLYGON((-58.3870543393059 -34.605628283009, -58.3870608830922 -34.6055386541589, -58.3871279152872 -34.6055419999923, -58.3871229259054 -34.6056103392685, -58.3871784200905 -34.6056131091665, -58.3871768657729 -34.6056343987425, -58.3870543393059 -34.605628283009))",48Q39JV7+Q569
-34.60887451,-58.37433703,66.5049,0.7904,"POLYGON((-58.3742894622267 -34.6089085384632, -58.3742982584969 -34.6088335554865, -58.3743846015857 -34.6088404796735, -58.3743758053927 -34.6089154626544, -58.3742894622267 -34.6089085384632))",48Q39JRG+F732
-34.59917868,-58.37354235,517.2307,0.8781,"POLYGON((-58.3734805 -34.5990145, -58.3736373 -34.599024, -58.3736335 -34.5990677, -58.3736824 -34.5990706, -58.3736763 -34.5991398, -58.3735953 -34.5991349, -58.3735745 -34.5993709, -58.3734496 -34.5993634, -58.3734805 -34.5990145))",48Q3CJ2G+8HGW
-34.59952296,-58.37875697,41.3858,0.7484,"POLYGON((-58.3787321 -34.5995664, -58.3787358 -34.5994782, -58.3787818 -34.5994795, -58.3787782 -34.5995677, -58.3787321 -34.5995664))",48Q3CJ2C+5FX5
-34.60963011,-58.37832537,29.5382,0.7573,"POLYGON((-58.3782987454879 -34.6096580115393, -58.378301559268 -34.6096005323887, -58.378351975436 -34.6096022195103, -58.378349161691 -34.6096596986606, -58.3782987454879 -34.6096580115393))",48Q39JRC+4MVP
-34.60298067,-58.38526301,154.2623,0.7092,"POLYGON((-58.3851969489941 -34.6030383918983, -58.385201980177 -34.6029192762024, -58.3853290767105 -34.6029229464613, -58.3853240457126 -34.6030420621581, -58.3851969489941 -34.6030383918983))",48Q39JW7+RV5P
-34.59990919,-58.38242359,185.875,0.8075,"POLYGON((-58.3823552921467 -34.5999786321017, -58.3823672774858 -34.5998327528802, -58.3824918963473 -34.5998397535354, -58.382479911226 -34.5999856327639, -58.3823552921467 -34.5999786321017))",48Q3CJ29+22PM
-34.59614678,-58.38697699,153.1211,0.6585,"POLYGON((-58.3869051841797 -34.5961987617971, -58.3869104566567 -34.5960901954952, -58.387048805817 -34.5960947899134, -58.3870435335203 -34.5962033562163, -58.3869051841797 -34.5961987617971))",48Q3CJ37+G6R4
-34.59558127,-58.38579312,23.8862,0.7858,"POLYGON((-58.3857671630882 -34.5956038768209, -58.3857645501661 -34.5955609300483, -58.3858190571871 -34.5955586622834, -58.3858216701366 -34.5956016090544, -58.3857671630882 -34.5956038768209))",48Q3CJ37+QM8P
-34.61193276,-58.37587717,521.3951,0.8115,"POLYGON((-58.3757867 -34.6120851, -58.3758029 -34.6117746, -58.3759677 -34.6117805, -58.3759514 -34.6120909, -58.3757867 -34.6120851))",48Q39JQF+6JHQ
