latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.5716929,-58.47945143,35.1729,0.699,"POLYGON((-58.4794066150769 -34.5717003564688, -58.4794407416134 -34.5716561322139, -58.4794962459549 -34.5716854383011, -58.4794621194378 -34.5717296625713, -58.4794066150769 -34.5717003564688))",48Q3CGHC+86F8
-34.57264119,-58.47726748,9.2979,0.6577,"POLYGON((-58.4772446171842 -34.5726461547935, -58.4772650670958 -34.5726217392882, -58.477290341034 -34.5726362232701, -58.4772698911273 -34.5726606387789, -58.4772446171842 -34.5726461547935))",48Q3CGGF+W3X7
-34.56953136,-58.47592841,73.2444,0.803,"POLYGON((-58.4758627744066 -34.5695524205588, -58.4759375396848 -34.5694736237344, -58.4759940350566 -34.5695103034571, -58.4759192698014 -34.5695891003152, -58.4758627744066 -34.5695524205588))",48Q3CGJF+5JPM
-34.56994603,-58.48015873,31.7442,0.762,"POLYGON((-58.4801586487975 -34.5699091437274, -58.4802009653083 -34.569934213066, -58.4801588001721 -34.5699829141232, -58.4801164836483 -34.5699578447703, -58.4801586487975 -34.5699091437274))",48Q3CGJ9+2WG5
-34.57260563,-58.47778504,30.7178,0.7099,"POLYGON((-58.477786389582 -34.5725681928118, -58.4778259129013 -34.5725895241319, -58.4777836766252 -34.572643068177, -58.4777441532908 -34.5726217368436, -58.477786389582 -34.5725681928118))",48Q3CGGC+XV4Q
-34.57099539,-58.47764799,41.6231,0.8185,"POLYGON((-58.4775979892188 -34.5709983637958, -58.4776353898425 -34.5709552565024, -58.4776979874437 -34.5709924179234, -58.4776605868376 -34.5710355252356, -58.4775979892188 -34.5709983637958))",48Q3CGHC+JW53
-34.57249408,-58.4763304,198.8582,0.7922,"POLYGON((-58.4762654847075 -34.5724986037077, -58.4762937920384 -34.5725148612306, -58.4763129533008 -34.5724920336564, -58.4762846459738 -34.5724757761384, -58.4763610946006 -34.5723846997345, -58.4764410274235 -34.5724306068518, -58.4762958456842 -34.5726035678447, -58.4762159127689 -34.5725576606356, -58.4762654847075 -34.5724986037077))",48Q3CGHF+2F37
-34.56959989,-58.47957914,84.5831,0.7459,"POLYGON((-58.4795102011424 -34.5696141370438, -58.4795691489095 -34.5695417016847, -58.479648074237 -34.5695856512201, -58.4795891265066 -34.5696580866155, -58.4795102011424 -34.5696141370438))",48Q3CGJC+5573
-34.57293037,-58.47622283,83.0059,0.7884,"POLYGON((-58.4761530873358 -34.5729321997197, -58.4762054631813 -34.57287019273, -58.4762662987186 -34.5729053515251, -58.4762517268503 -34.5729226029713, -58.4762898543789 -34.5729446380548, -58.4762520504368 -34.5729893936368, -58.4761530873358 -34.5729321997197))",48Q3CGGF+RGCQ
-34.56908379,-58.4759371,82.5253,0.7019,"POLYGON((-58.4758683568582 -34.5690999549903, -58.4759377431188 -34.5690246800776, -58.476005834355 -34.5690676278923, -58.4759364481231 -34.5691429028425, -58.4758683568582 -34.5690999549903))",48Q3CGJF+9J8J
-34.57277207,-58.47814368,95.9716,0.716,"POLYGON((-58.478069198916 -34.5727829709613, -58.4781239942709 -34.5727116615984, -58.4782181492762 -34.5727611642268, -58.4781633539722 -34.5728324736303, -58.478069198916 -34.5727829709613))",48Q3CGGC+VPX3
-34.5690946,-58.47679406,56.2838,0.7183,"POLYGON((-58.476795243594 -34.5691412159858, -58.4767196286236 -34.569083808029, -58.4767347657902 -34.569070165125, -58.4767628322965 -34.5690914736261, -58.4768076762415 -34.5690498208423, -58.4768559687816 -34.5690864851896, -58.476795243594 -34.5691412159858))",48Q3CGJF+9788
-34.56970572,-58.47696578,70.6565,0.8091,"POLYGON((-58.4769831029647 -34.5696409832602, -58.4770260763916 -34.5696667370758, -58.4769786262793 -34.5697209142497, -58.4769963917738 -34.5697315610387, -58.4769643384413 -34.5697681585719, -58.4769035994918 -34.5697317579359, -58.4769831029647 -34.5696409832602))",48Q3CGJF+467J
-34.57034835,-58.47897325,76.0091,0.7428,"POLYGON((-58.4789062465247 -34.5703579507503, -58.4789450200793 -34.5702969056207, -58.4790402879346 -34.5703383097956, -58.479001048168 -34.5704000890423, -58.4789062465247 -34.5703579507503))",48Q3CGHC+VC65
-34.57021478,-58.47859558,16.1176,0.6881,"POLYGON((-58.4785679052861 -34.5702262273861, -58.4785829066021 -34.570191422672, -58.4786232613665 -34.5702033241489, -58.4786082600654 -34.5702381288676, -58.4785679052861 -34.5702262273861))",48Q3CGHC+WH6H
-34.56968441,-58.47628167,19.7081,0.6583,"POLYGON((-58.4762942599619 -34.5697176423568, -58.4762456974637 -34.5696663345876, -58.4762690873488 -34.5696511861954, -58.4763176498518 -34.5697024939554, -58.4762942599619 -34.5697176423568))",48Q3CGJF+4FGQ
-34.56892644,-58.47688796,42.7291,0.6993,"POLYGON((-58.4768360683395 -34.5689274110758, -58.4768693821096 -34.5688863520733, -58.4769398518676 -34.5689254763655, -58.4769065381172 -34.5689665353862, -58.4768360683395 -34.5689274110758))",48Q3CGJF+C6HW
-34.57080106,-58.47697199,113.0835,0.7787,"POLYGON((-58.4768876286443 -34.5708007691071, -58.4769443297465 -34.5707351334363, -58.4770563518142 -34.5708013495303, -58.476999650759 -34.5708669852514, -58.4768876286443 -34.5708007691071))",48Q3CGHF+M6CX
-34.57211288,-58.476896,14.9705,0.6945,"POLYGON((-58.4768660946633 -34.5721153359444, -58.4768877094707 -34.572088980777, -58.4769259181619 -34.5721104216562, -58.4769043033613 -34.5721367768304, -58.4768660946633 -34.5721153359444))",48Q3CGHF+565F
-34.56982999,-58.47979465,34.1254,0.6531,"POLYGON((-58.4797405147513 -34.5698178916446, -58.479762673852 -34.5697918859268, -58.4798487816653 -34.5698420906543, -58.4798266225789 -34.569868096387, -58.4797405147513 -34.5698178916446))",48Q3CGJC+338W
-34.57094254,-58.47842544,170.2758,0.7446,"POLYGON((-58.4783283404446 -34.5709663979531, -58.478413644899 -34.5708593182198, -58.4785225446104 -34.5709186787847, -58.4784372402407 -34.5710257585911, -58.4783283404446 -34.5709663979531))",48Q3CGHC+JJG7
